AccountNumber,AWS Tenant,ConsolidatedPolicies,AWSIAMRoleNameNew
389812532864,Deltek CostPoint,"DCO_Infrastructure_Reduced_Access,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_CertificatePermissions,DCO_Infrastructure_AdditionalAccess,Infra_Config_Permission,DCO_MarketPlace_Access,DCO_InfraDel_CloudfrontAccess,DCO_Lambda_SecretsManager_EventBridge,DCO_EC2AutoScaling,DCO_InfraDelivery_NetworkEngr",ADFS-Deltek-CP-cld-del-network
389812532864,Deltek CostPoint,"DCO_Infrastructure_Reduced_Access,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_CertificatePermissions,DCO_Infrastructure_AdditionalAccess,Infra_Config_Permission,DCO_InfraDel_CloudfrontAccess,DCO-InfraDelivery-ResourceAccessManager,DCO_Lambda_SecretsManager_EventBridge,DCO_EC2AutoScaling,DCO_InfraDelivery_NetworkEngr",ADFS-Deltek-CP-cld-del-tools
389812532864,Deltek CostPoint,"ReadOnlyAccess,S3_Write_CostPoint",ADFS-Deltek-CP-cld-mgt-cp
389812532864,Deltek CostPoint,"ReadOnlyAccess,ReadOnlyAccess,DCO_DBA_S3",ADFS-Deltek-CP-cld-mgt-db
389812532864,Deltek CostPoint,"S3_Write_CostPoint,ReadOnlyAccess",ADFS-Deltek-CP-cld-mgt-sre-app
389812532864,Deltek CostPoint,"ReadOnlyAccess,DCO_DBA_S3",ADFS-Deltek-CP-cld-sre-db
407002302072,EC-Maconomy-Sandbox,DCO_Infrastructure_SRE,ADFS-EC-mac-sbx-cld-leads-sre-vp-aj
407002302072,EC-Maconomy-Sandbox,DCO_Infrastructure_SRE,ADFS-EC-mac-sbx-cld-sre-mac
535726127367,EC-SSEC,DGC_Infrastructure_Delivery,ADFS-EC-SSEC-cld-del-infra
535726127367,EC-SSEC,DGC_Infrastructure_Delivery,ADFS-EC-SSEC-cld-del-network
535726127367,EC-SSEC,DGC_Infrastructure_SRE,ADFS-EC-SSEC-cld-sre-infra
363912313913,dcoflexplus,"ReadOnlyAccess,Daas_Poc_S3_access_Policy,AWSDMSServerlessServiceRolePolicy,DMSFullAccess_RITM0143825,AmazonDMSVPCManagementRole,AmazonDMSVPCManagementRoleD,MSFullAccess",ADFS-FP-cld-del-db
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_S3_wscdownload,DCO_MaconomyEnterpriseFiles_S3,DCO_SecretsManager_MacEnt",ADFS-FP-cld-del-mac
363912313913,dcoflexplus,"DCO_InfraDelivery_CertificatePermissions,Infra_Config_Permission,DCO_LambdaSecretsManager_EventBridge,DCO_TrustedAdvisor,DCO_InfraDelivery_NetworkEngr,DCO_EC2AutoScaling,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_DMS,DCO_CloudFrontDistributions,DCO_InfraDel_CloudfrontAccess",ADFS-FP-cld-del-network
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_InfraDelivery_CertificatePermissions,Infra_Config_Permission,DCO_Lambda_SecretsManager_EventBridge,DCO_TrustedAdvisor,DCO_InfraDelivery_NetworkEngr,DCO_Infrastructure_TagEditor,DCO_EC2AutoScaling,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_DMS,DCO_InfraDelivery_DMS,DCO_MarketPlace_Access,DCO_MarketPlace_Access,DCO_CloudFrontDistributions,DCO_InfraDel_CloudfrontAccess",ADFS-FP-cld-del-tools
363912313913,dcoflexplus,"DCO_InfraDelivery_CertificatePermissions,Infra_Config_PermissionDCO_Lambda_SecretsManager_EventBridge,DCO_TrustedAdvisor,DCO_InfraDelivery_NetworkEngr,DCO_Infrastructure_TagEditor,DCO_EC2AutoScaling,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_DMS,DCO_CloudFrontDistributions,DCO_InfraDel_CloudfrontAccess",ADFS-FP-cld-del-tools
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_S3_GetObject_Altus,ReadOnlyAccess",ADFS-FP-cld-del-vp-aj
363912313913,dcoflexplus,"ReadOnlyAccess,S3ReadAndWriteAccess_RITM0100831",ADFS-FP-cld-eng-svceng-app-infra
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_SystemsManagerPolicy,Flexplus_s3backup,SiteReliability_SSAA,SiteReliability_Access,SSAA_auto-mac-modules,SSAA_auto-mac-modules-dev-test-upload",ADFS-FP-cld-leads-sre-vp-aj
363912313913,dcoflexplus,"ReadOnlyAccess,Daas_Poc_S3_access_Policy,Daas_Poc_S3_access_PolicyAWSDMSServerlessServiceRolePolicy,DMSFullAccess_RITM0143825,AmazonDMSVPCManagementRole,AmazonDMSVPCManagementRoleDMSFullAccess",ADFS-FP-cld-mgt-db
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_S3_wscdownload,DCO_MaconomyEnterpriseFiles_S3,DCO_SecretsManager_MacEnt",ADFS-FP-cld-mgt-mac
